Model;Scenario;Region;Variable;Unit;2015;2016;2017;2018;2019;2020
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Renewables;billion US$2019;21,9054;25,3693;14,3918;26,1376;19,8643;17,8496
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Renewables;billion US$2019;58,1692;53,0496;49,6645;43,1558;43,6634;37,2308
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Coal;billion US$2019;0;0;0;0,0915;0,2744;0,4573
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Coal;billion US$2019;46,6585;42,0216;37,0949;33,3999;29,1978;26,0824
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Coal;billion US$2019;8,3019;7,4769;6,6003;5,9428;5,1952;4,6408
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Coal;billion US$2019;1,4559;1,6092;2,0689;2,9885;3,6015;3,2184
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Coal;billion US$2019;2,8642;2,5796;2,2771;2,0503;1,7924;1,6011
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Coal;billion US$2019;4,6083;3,9284;3,8528;4,6083;5,3637;4,5327
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Extraction|Biomass;billion US$2019;1,2297;1,3117;1,3117;1,0658;0,9838;0,9838
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Extraction|Biomass;billion US$2019;1,0593;1,1074;1,0111;0,7222;0,5296;0,5778
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Extraction|Biomass;billion US$2019;0,5095;0,5327;0,4864;0,3474;0,2548;0,2779
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Extraction|Biomass;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Extraction|Biomass;billion US$2019;0,2736;0,286;0,2612;0,1865;0,1368;0,1492
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Extraction|Biomass;billion US$2019;3,8778;3,9723;4,2561;4,6344;4,8236;3,7832
